Statement 1| After mapped into feature space Q through a radial basis kernel function, 1-NN using unweighted Euclidean distance may be able to achieve better classification performance than in original space (though we can’t guarantee this). Statement 2| The VC dimension of a Perceptron is smaller than the VC dimension of a simple linear SVM.

Options:
A. Partly True, Partly False
B. Partly False, Partly True
C. True, False
D. True, Partly True
E. False, False
F. True, True
G. False, Partly True
H. Partly False, True
I. Partly True, False
J. False, True
